long,lat,id,plaza,tipo,tipo_norma,materiales,dias_y_horario,cooperativa,calle,altura,calle2,direccion,barrio,comuna,observaciones
-58.52015212634271,-34.657455974583,78,Plaza Rómulo Zabala,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,Recolectores del Oeste,Ercilla,7502,,ERCILLA 7502,Mataderos,Comuna 9,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4777462722301,-34.5685181079045,79,Sede Comuna 12,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Holmberg,2548,,HOLMBERG 2548,Villa Urquiza,Comuna 12,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.408873838405896,-34.6395692943904,80,Polidep. Patricios,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Trabajo y Dignidad,Pepiri,135,,PEPIRI 135,Parque Patricios,Comuna 4,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4085324438706,-34.6262507788921,81,Polidep. Martin Fierro,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Oruro,1310,,ORURO 1310,San Cristobal,Comuna 3,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4022363372085,-34.5734402977984,82,Polidep. Manuel Belgrano,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Salguero,3450,,"SALGUERO, JERONIMO 3450",Recoleta,Comuna 2,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4839485277984,-34.647068142659194,83,Plaza Domingo Olivera,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,RUO,Olivera,824,,OLIVERA AV. 824,Parque Avellaneda,Comuna 9,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4300805196272,-34.5737040539017,84,Ministerio de Desarrollo Social,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Huergo,131,,HUERGO 131,Palermo,Comuna 14,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.378619501757605,-34.6415817701736,85,Subsede Comuna 4,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,El Trebol,Suarez,2032,,SUAREZ AV. 2032,,,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4551829280695,-34.6848371251755,86,Dirección General de Licencias,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,baires Cero,Av. Roca,5252,,"ROCA, CNEL. AV. 5252",,,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.438498763493605,-34.5470228093443,87,FADU/Ciudad Universitaria,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,Madreselva,Intendente Guiraldes,2160,,"GUIRALDES, INT. 2560",,,"Para entregar los materiales, éstos deben estar limpios y secos."
-58.4498952817886,-34.5579560095467,88,Barrio chino,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Madreselva,Arribeños,2100,,ARRIBEÑOS 2101,,,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.369448590284904,-34.6283216878452,89,Parque Lezama,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",El Trebol,Martin Garcia,0,Irala,"GARCIA, MARTIN AV. e IRALA",San Telmo,Comuna 1,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.425927198527496,-34.5887304859498,90,Plaza Armenia,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Ceibo,Costa Rica,0,Armenia,COSTA RICA Y ARMENIA,Palermo,Comuna 14,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4488317966911,-34.6184552259874,91,Club Ferro Carril Oeste,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,RUO,Avellaneda,1240,,AVELLANEDA  AV. 1240,Caballito,Comuna 6,"Para entregar los materiales, éstos deben estar limpios y secos"
